Nachbar,neighbor
der Widerspruch, contradiction, opposition
schießen, to shoot
der Musiker, musician
der Sportler, athlete
die Unterscheidung, distinction, difference
auf, on (Auf zum Sport! = On to sports!)
lassen, to let, allow (Lass mich mal überlegen! = Let me think!)
die Kondition, conditioning (Singular)
vorschlagen, to suggest
ablehnen, to decline
da, here (Ich habe da einen Vorschlag: … = Here, I have a suggestion…)
halten, to hold, think about (Was hältst du von meiner Idee? = What do you think about my idea?)
reagieren, to react
die Reaktion, reaction
der Vorschlag, suggestion, recommendation
zustimmen, to agree
ausleihen, to borrow
balancieren, to balance
der Hochseilgarten, high ropes course
die Info, information
der Profi, professional
die Übersicht, overview
das Kärtchen, card (small)
der Stapel, stack, deck of cards
das Geocaching, geocaching (singular)
der Schatz, treasure
die Art, type
die Erklärung, explanation
der Geocache, geocache
geografisch, geographic(ally)
das GPS-Gerät, GPS device
die Koordinate, coordinate
sogenannt, so-called
das Versteck, hiding place
verstecken, to hide
der Baum, tree
der Behälter, container
der Cache, cache
die Dose, can, jar, canister
die Erde, earth, soil (Singular)
das Gelände, landscape
der Geocache-Behälter, geocache container
der Geocache-Inhalt, geocache contents
der Geocacher, geocacher
gleichzeitig, simultaneous(ly)
das Grad, degree
hineinlegen, to insert
die Höhle, cave
die Internetadresse, internet address, URL
jeweilig, respective
kaputtgehen, to break, to fall apart
das Loch, hole
das Logbuch, log book
die Minustemperaturen, temperatures below freezing (Plural)
der Multicache, multicache
die Natur, nature (Singular)
die Naturwanderung, nature hike
die Pflanze, plant
das Plastik, plastic (Singular)
die Plastikdose, plastic canister
schützen, to protect
stabil, sturdy, stable
die Temperatur, temperature
der Tresor, vault, safe
und so weiter (usw.), and so on (etc.)
versteckt, hidden
versuchen, to attempt
wasser­dicht, waterproof
weiterlesen, to read on
zu sein, to be closed
das Kongresszentrum, convention center
das Kulturzentrum, cultural center
bauen, to build
die Besonderheit, special feature
der Bauernhof, -höfe, farm  
bewohnt, inhabited  
die Breite, -n, width, breadth  
das Dach, Dächer, roof  
das Dorf, Dörfer, small town, village  
der Einwohner, inhabitant  
entfernt, distant(ly)  
die Ferienwohnung, -en, vacation home  
die Fläche, -n, area  
das Gebäude, building  
genial, ingenious(ly); here: impressive  
das Hausboot, -e, houseboat  
die Insel, -n, island  
intensiv, intense(ly), intensive(ly)  
die Kauffrau, -en, businesswoman  
der Keller, basement  
die Länge, -n, length  
die Luft (meist Singular), air (Die Luft ist frisch und sauber. = The air is fresh and clean.)  
der Quadratmeter, square meter  
schaukeln, to rock, sway  
die Seehöhe (Singular), above sea level  
spiegeln, to mirror, reflect  
das Ufer, shore  
die Wolke, -n, cloud  
die Wohnform, -en, form of housing  
der Stadtrand, -ränder, city limit  
der Strand, Strände, beach  
bisher, until now  
leise, quiet  
abstellen (Ich stelle mein Fahrrad im Hof ab.), to park (I park my bicycle in the courtyard.)  
bellen, to bark  
die Haustür, -en, front door  
der Eingang, Eingänge, entrance  
das Rad, Räder, bike  
der Rauch (Singular), smoke  
stinken (stinkt, hat gestunken), to stink  
das Treppenhaus, -häuser, stairwell, stairway  
der Wortschatz (Singular), vocabulary  
eng, narrow  
das Feuer, fire  
die Feuerwehr, -en, fire department  
der Kinderwagen, – /-wägen, baby carriage, pram  
der Müll (Singular), trash  
die Mülltonne, -n, trash can  
trocken, dry  
einlenken, to give in, back down  
na gut (Na gut, ist nicht so schlimm.), all right (All right, it’s not so bad.)  
na ja (Na ja, wenn das so ist, dann akzeptiere ich das.), oh well (Oh well, if that’s how it is, I’ll accept it.)  
die Ordnung (Singular) (Das ist schon in Ordnung.), here: all right (That’s all right.)  
vorkommen (kommt vor, ist vorgekommen), to occur, happen  
die Konfliktsituation, -en, conflict situation  
annehmen (nimmt an, hat angenommen), to accept  
ausräumen, to empty out  
der/die Kleine, -n, little one  
die Nachbarschaft, -en, neighborhood, neighbors  
die Bitte, -n, request, plea  
der Briefkasten, -kästen, mailbox  
füttern, to feed  
der Gefallen, – (Kannst du mir einen Gefallen tun und heute Abend meine Katze füttern?), favor (Can you do me a favor and feed my cat this evening?)  
gießen (gießt, hat gegossen), to pour, water  
die Katze, -n, cat  
leeren, to empty  
das Päckchen, package  
der Kursteilnehmer, course participant  
aufschlagen (schlägt auf, hat aufgeschlagen) (Schlagen Sie bitte das Buch auf.), here: to open (a book) (Please, open the book.)  
der Bleistift, -e, pencil  
abmelden, to log off, sign off, check out  
einziehen (zieht ein, ist eingezogen), to move in  
der Umzugswagen, – /-wägen, moving truck  
das Apartment, -s, apartment  
elektrisch, electric(ally)  
erlauben, to allow  
gehören, to belong  
möbliert, furnished  
der Strom (Singular), electricity  
vermieten, to rent out  
die Wand, Wände, wall  
als (Als ich noch in Fribourg war, habe ich meinen Umzug gut vorbereitet.), as, when (When I was still in Fribourg, I prepared well for my move.)  
sich auskennen (kennt sich aus, hat sich ausgekannt) (mit + Dat.), to know about, be familiar with 
etwas (Auf dem Dorf ist alles etwas kleiner als in der Stadt.), somewhat, something (In the village, everything is somewhat smaller than in the city.)  
faxen, to fax  
immer, whenever  
kaum, barely  
kündigen, to resign, quit  
der Umzug, Umzüge, move  
sich unterhalten (unterhält sich, hat sich unterhalten), to converse  
sich verirren, to become lost  
versprechen (verspricht, hat versprochen), to promise  
das WG-Essen, housing cooperative meal  
sich wohlfühlen, to feel well  
der Mitstudent, -en, fellow student  
der Rückweg, -e, return trip  
einmalig, unique, singular  
die Spracherfahrung, -en, foreign language experience  
die Cousine, -n, cousin (f.)  
ebenfalls, also, likewise  
die Abreise (Singular), departure  
das Kätzchen, little cat  
die Besitzerin, -nen, kitten owner (f.)  
das Meerschweinchen, guinea pig  
der Nymphensittich, -e, cockatiel  
pflegeleicht, easy to care for  
die Schildkröte, -n, turtle  
das Tierheim, -e, animal shelter  
das Zuhause, home  
ausgeben (gibt aus, hat ausgegeben), to spend, give away  
der Bär, -en, bear  
das Bärchen, bear cub  
der Hase, -n, rabbit  
das Haustier, -e, pet  
der Kosename, -n, pet name  
das Mäuschen, Mausi (ohne Artikel), here: sweetie  
das Schwein, -e, pig  
der Tiername, -n, animal name  
das Futter, feed  
der Haushalt, -e, household  
die Lebenssituation, -en, living situation  
modisch, fashionable  
die Ratte, -n, rat  
der Tierarzt, -ärzte, veterinarian  
der Vogel, Vögel, bird  
das Lieblingstier, -e, favorite animal  
die Tiergeschichte, -n, animal stories  
das Erdhörnchen, ground squirrel  
die Fotomontage, -n, photomontage, composite photograph  
hineinschauen, to look into  
die Kamera, -s, camera  
der Selbstauslöser, self-timer  
springen (springt, ist gesprungen) (Das Erdhörnchen ist einfach vor die Kamera gesprungen.), to jump (The gopher just jumped in front of the camera.)  
der Stein, -e, rock  
zufällig, coincidentally  
der Stil, -e, style  
unterschiedlich, different(ly)  
aufziehen (zieht auf, hat aufgezogen), to raise  
die Ente, -n, duck  
das Küken, chick  
der Polizist, -en, police officer  
der Schwan, Schwäne, swan  
das Schweinchen, piglet  
die Tiergeschichte, -n, animal story  
der Tiger, tiger  
überqueren, to cross  
verliebt, in love  
verbessern, to improve  
die Kuh, Kühe, cow  
das Spiegelbild, -er, reflection, mirror image  
die Terrassentür, -en, patio door, terrace door  
der Zaun, Zäune, fence  
die Unterhaltung, -en, entertainment, conversation  
das Album, Alben, album  
bayrisch, Bavarian  
die Bestsellerliste, -n, bestseller list  
das Budget, -s, budget  
erscheinen (erscheint, ist erschienen), to come out, appear  
der Frauenchor, -chöre, women’s choir  
das Hauptwerk, -e, masterpiece, main work  
der Männerchor, -chöre, men’s choir  
das Märchenschloss, -schlösser, fairytale castle  
meistverkauft, bestselling  
die Musikgeschichte (Singular), history of music  
plus, plus  
die Realität, -en, reality  
der Riesenerfolg, -e, huge success  
die Rolle, -n, role  
das Schloss, Schlösser, castle  
der Solist, -en, soloist  
der Tourist, -en, tourist  
die Verfilmung, -en, film adaptation  
die Führung, -en, guided tour  
das Amphitheater, die Arena, Arenen, amphitheater, arena  
damals, then, in those days  
entstehen (entsteht, ist entstanden), to develop from, originate from  
der Fernsehturm, -türme, TV tower  
der Kakao, -s, cocoa  
das Konzerthaus, -häuser, concert hall  
der Konzertsall, -säle, concert hall  
das Lagerhaus, -häuser, warehouse  
die Römerspiele (Plural), Roman games  
die Römerzeit (Singular), Roman era  
der Umbau, -ten, rebuilding, conversion  
Welche Karten nehmen wir?, Which tickets do we take?  
der Jazz (Singular), jazz  
das Rockkonzert, -e, rock concert  
der Trip-Hop (Singular), trip-hop  
was für ein…, what kind of a…  
der Stehplatz, -plätze, standing room  
der Ticketkauf, -käufe, ticket purchase  
die Überweisung, -en, bank transfer  
die Kasse, -n, cashier  
das Konto, Konten, account  
die Mehrwertsteuer, value-added tax (VAT) (Note: different from sales tax)  
netto, net  
die Quittung, -en, receipt  
der Rabatt, -e, rebate, discount  
überweisen (überweist, hat überwiesen), to transfer  
der Käufer, buyer  
das Konzert, concert  
abgeben (gibt ab, hat abgegeben), to leave, give up  
hier und da, here and there  
der Kontrolleur, -e, inspector  
der Schirm, -e (Nie habe ich einen Schirm dabei, wenn es regnet!), umbrella (I never have an umbrella on me when it rains!)  
deutschsprachig, German-speaking  
das Lieblingslied, -er, favorite song  
ablesen (liest ab, hat abgelesen), to read off  
die Ansage, -n, announcement  
der Einsatz, Einsätze, use, mission, deployment  
feststellen, to determine, discover  
der Filmregisseur, -e, film director  
glattgehen (geht glatt, ist glattgegangen), to go smoothly  
hinfahren (fährt hin, ist hingefahren), to drive to (s.t.)  
der Hochzeitstag, -e, wedding day  
der Hörer, listener  
die Komikerin, -nen, comedian (f.)  
die Live-Show, -s, live show  
das Medium, Medien, medium  
die Moderatorin, -nen, moderator (f.)  
die Nachrichten (Plural) (Hast du heute die Nachrichten schon gehört?), news (Did you already hear the news today?)  
der Nachrichtensprecher, news anchor, news presenter  
das Programm, -e (Das Programm im Fernsehen finde ich immer schlechter.), program(ming) (I think television programming is getting worse.)  
der Radiosprecher, radio presenter  
selbe, same  
die Stille (Singular), silence  
das Stück, -e (Hast du schon das neue Stück von Monika Gruber gesehen?), play (Have you already seen the new play by Monika Gruber?)  
der Teleprompter, teleprompter  
die TV-Show, -s, TV show  
verschlafen (verschläft, hat verschlafen), to oversleep  
vorgehen (geht vor, ist vorgegangen) (Ich wollte zum Fußballspiel, aber der Hochzeitstag geht vor.), to come first, have precedence (I wanted to go to the soccer game, but the wedding comes first.)  
der/die Prominente, -n, prominent person, celebrity  
der Regisseur, -e, director  
drehen (Sönke Wortmann hat viele Filme gedreht.), to shoot a film (Sönke Wortmann has shot many films.)  
ausverkauft, sold out  
das Finale, -s, final match  
der Fußballfilm, -e, soccer film  
die Hauptrolle, -n, leading role  
moderieren, to moderate  
das Prominenten-Quiz, celebrity quiz  
die Quiz-Frage, -n, quiz question  
der Punkt, -e (Für jede richtige Antwort gibt es drei Punkte.), point (Three points for every correct answer.)  
aufgeregt, excited(ly)  
drüben, over there  
mitlesen (liest mit, hat mitgelesen), to read along (with s.o.)  
die Malerei, -en, painting  
abmalen, to paint from sight, trace  
der Audioguide, -s, audio guide  
die Einführung, -en, introduction  
der Feldhase, -n, hare  
das Jahrhundert, -e, century  
der Maler, painter  
sondern, instead  
das Tierbild, -er, picture of an animal  
die Tiermalerei, -en, painting of animals  
das Wildschwein, -e, wild boar  
abstrakt, abstract(ly)  
dumm, dumb(ly)  
exakt, exact(ly)  
gemacht (Dieser Film ist echt gut gemacht.), made (This film is really well made.)  
das Blatt, Blätter (Im Herbst liebe ich die roten Blätter an den Bäumen.), leaf (I love the red leaves on the trees in the fall.)  
dahinter, behind it  
deuten, to indicate  
die Ecke, -n, corner  
oben, der Vordergrund, -gründe, above, at the top foreground  
die Abbildung, -en, illustration  
auffallen (fällt auf, ist aufgefallen), to stand out  
dunkel- (Ein Wildschwein auf dem Bild ist dunkelblau.), dark  
der Graffito, Graffiti, graffiti  
hell- (Der Himmel ist heute hellblau.), light  
der Hintergrund, -gründe, background  
engagieren (sich) (für/gegen + Akk.), to get involved  
vergehen (vergeht, ist vergangen), to pass by  
der Alkohol (Singular), alcohol  
die Arztpraxis, -praxen, medical practice  
betrunken, drunk(enly)  
das Blut (Singular), blood  
bluten, to bleed  
der Krankenwagen, -/-wägen, ambulance  
lügen (lügt, hat gelogen), to lie  
die Rose, -n, rose  
schwanger, pregnant  
sterben (stirbt, ist gestorben), to die  
tot, dead  
die Abschlussprüfung, -en, final exam  
die Fete, -n, party  
das Heimweh (Singular), homesickness  
der Kiosk, -e, kiosk  
pensioniert, retired  
sparen, to save  
die Bibliothek, -en, library  
der Rentner, die Rentnerin, -nen, retiree, pensioner (m./f.)  
die Lebensphase, -n, phase of life  
unter (Unter der Woche habe ich oft keine Zeit für meine Hobbys.), here: during (During the week, I often don’t have time for my hobbies.)  
womit, with what  
Ich hätte gern mehr Zeit!, I would like more time!  
öfter, more often  
unternehmen (unternimmt, hat unternommen), to undertake  
austeilen, to distribute  
So ein Stress!, Such stress!  
erledigen, to settle, handle, take care of  
klingeln, to ring  
ständig, constantly  
streiten (sich) (streitet, hat gestritten), to argue  
die Mittagspause, -n, lunch break  
der Kajak-Ausflug, -Ausflüge, kayak excursion  
das Kajak, -s, kayak  
zusammengehören, to fit together  
aus (Von mir aus gern.), here: according to (Gladly, as far as I am concerned.)  
der Gegenvorschlag, -vorschläge, counterproposal  
die Kategorie, -n, category  
recht haben, to be correct  
bestens (Wie geht‘s dir? – Alles bestens.), very well (How’s it going? – All very well.)  
die Stimmung, -en, mood  
worauf, what + prep. (What are you looking forward to?)  
diskutieren (über + Akk.), to discuss  
interessieren (sich) (für + Akk.), to be interested in  
sich unterhalten (über + Akk.), to converse  
statt, instead  
betonen, to emphasize  
der Sprecher, speaker  
der Apfelkuchen, apple pie  
die Kajaktour, -en, kayak tour  
Zeitreisen, time travels  
das Abenteuer, adventure  
aussuchen, to select  
erschließen (erschließt, hat erschlossen), to infer  
der Fernsehsender, TV station  
das Filmteam, -s, film crew  
fließend (Auf dem Bauernhof gibt es kein fließendes Wasser.), running (There is no running water at the farm.)  
füllen, to fill  
das Kerzenlicht, -er, candlelight  
der Kontext, -e, context  
die Lücke, -n, gap  
der/das Maracuja-Joghurt, -s, passion fruit yogurt  
sinnvoll, meaningful  
sondern auch, but also  
die Zeitreise, -n, time travel  
zurückreisen (reist zurück, ist zurückgereist), to travel back  
entwerfen (entwirft, hat entworfen), to design, plan  
das Werbeplakat, -e, advertising poster  
der Zeitpunkt, -e, moment in time  
Sprichwörter, proverbs  
afrikanisch, African  
die Maracuja, passion fruit  
das Gold (Singular), gold  
das Gras, Gräser, grass  
heilen, to heal  
die Morgenstunde, -n, morningtime  
scheinen (scheint, hat geschienen) (Dem Wartenden scheinen Minuten Jahre zu sein.), to seem, appear (To the one who waits, minutes seem like years.)  
das Sprichwort, -wörter, proverb  
wachsen (wächst, ist gewachsen), to grow  
der/die Wartende, -n, someone who waits  
die Wunde, -n, wound  
abhängen (hängt ab, hat abgehangen), to depend  
effektiv, effective(ly)  
die Geduld (Singular), patience  
einbauen, to incorporate  
Äthiopien,Ethiopia
beeindrucken,to impress
dekorieren,to decorate
die Gastfreundschaft,hospitality
die Gastgeberin,hostess
der Geselle,apprentice
der Heimatort,hometown
die Kaffeebohne,coffee bean
die Kaffeezeremonie,coffee ceremony
die Kulturwissenschaftlerin,humanities researcher
Neujahr,New Year’s
der Ofen,oven
rösten,to roast
Silvester,New Year’s Eve
die Walz,apprenticeship in a different local region
der Wandergeselle,traveling apprentice
die Wanderschaft,travels
die Zeremonie,ceremony
das Neujahrsfest,new year’s celebration
das Erntedankfest,harvest celebration
der Maibaum,maypole
anlassen,to leave on
der Arbeitskollege,colleague
ausziehen,to take off
die Diplomarbeit,thesis
einzig,only; sole; unique
die Geburtstagsparty,birthday party
der Hausschuh,slipper
neulich,recently
die Socke,sock
stehen bleiben,to stand still
unhöflich,impolite(ly)
unsicher,insecure(ly)
unzufrieden,dissatisfied(ly); displeased
auch wenn,even when
auf keinen Fall,under no circumstances
der Gastgeber,host
gierig,greedy
der Kulturknigge,cultural etiquette
die Portion,portion
putzen,to clean; wipe
schlürfen,to slurp
die Seite,side
das Taschentuch,handkerchief
umrühren,to stir up
wirken,to seem
damit,so that
der Reiseleiter,tour guide
um zu,in order to
die Absicht,intention
wozu,why; for what
das Benehmen,behavior; manners
die Höflichkeit,politeness; courtesy
Acht,awareness; heed
die Ausnahme,exception
automatisch,automatic(ally)
der Beamte,officer; civil servant
befreundet,befriended
die Distanz,distance
duzen,to call someone by „du“
der/die Erwachsene,adult
gelten,to apply; count
generell,generally
korrekt,correct
näher,closer
das Schulalter,school-age
siezen,to call someone by „Sie“
das Schulkind,schoolchild
die Wanderung,hike
der/die Bekannte,acquaintance
steigen,to climb; rise
die Stimme,voice
nun,now
eingehen,to focus on; concentrate
die Industrie,industry
die Ordnung,order
die Qualität,quality
die Wirtschaft,economy
abschließend,in closing
altmodisch,old-fashioned
das Ballkleid,formal dress for balls
beleidigt,offended
der Handkuss,kiss on the hand
die Kaiserzeit,imperial era
kriegen,to get; obtain
der Opernball,opera ball
die Prinzessin,princess
der Quatsch,nonsense
schließlich,finally
der Ski,ski
das Skifahren,to ski
die Zusammenfassung,summary; synopsis
der Blogger,blogger
die Eigenschaft,attribute; characteristic
